,name,works,prompt copy,,名前,作品,
1boy,felix argyle,re:zero kara hajimeru isekai seikatsu,"(1boy,felix argyle,re:zero kara hajimeru isekai seikatsu),",,フェリックス・アーガイル,Re:ゼロから始める異世界生活,
1girl,felt \(re:zero\),re:zero kara hajimeru isekai seikatsu,"(1girl,felt \(re:zero\),re:zero kara hajimeru isekai seikatsu),",,\(リゼロ\) を感じた,Re:ゼロから始める異世界生活,
1girl,frederica baumann,re:zero kara hajimeru isekai seikatsu,"(1girl,frederica baumann,re:zero kara hajimeru isekai seikatsu),",,フレデリカ・バウマン,Re:ゼロから始める異世界生活,
1boy,natsuki subaru,re:zero kara hajimeru isekai seikatsu,"(1boy,natsuki subaru,re:zero kara hajimeru isekai seikatsu),",,ナツキ・スバル,Re:ゼロから始める異世界生活,
1girl,petelgeuse romaneeconti,re:zero kara hajimeru isekai seikatsu,"(1girl,petelgeuse romaneeconti,re:zero kara hajimeru isekai seikatsu),",,ペテルギウス ロマネコンティ,Re:ゼロから始める異世界生活,
1girl,priscilla barielle,re:zero kara hajimeru isekai seikatsu,"(1girl,priscilla barielle,re:zero kara hajimeru isekai seikatsu),",,プリシラ・バリエル,Re:ゼロから始める異世界生活,
1girl,puck \(re:zero\),re:zero kara hajimeru isekai seikatsu,"(1girl,puck \(re:zero\),re:zero kara hajimeru isekai seikatsu),",,パック\(リゼロ\),Re:ゼロから始める異世界生活,
1girl,ram \(re:zero\),re:zero kara hajimeru isekai seikatsu,"(1girl,ram \(re:zero\),re:zero kara hajimeru isekai seikatsu),",,ラム\(リゼロ\),Re:ゼロから始める異世界生活,
1boy,reinhard van astrea,re:zero kara hajimeru isekai seikatsu,"(1boy,reinhard van astrea,re:zero kara hajimeru isekai seikatsu),",,ラインハルト・ヴァン・アストレア,Re:ゼロから始める異世界生活,
1girl,rem \(re:zero\),re:zero kara hajimeru isekai seikatsu,"(1girl,rem \(re:zero\),re:zero kara hajimeru isekai seikatsu),",,レム\(リゼロ\),Re:ゼロから始める異世界生活,
1girl,rem \(re:zero\),re:zero kara hajimeru isekai seikatsu,"(1girl,rem \(re:zero\),re:zero kara hajimeru isekai seikatsu),",,レム\(リゼロ\),Re:ゼロから始める異世界生活,
1girl,shaula \(re:zero\),re:zero kara hajimeru isekai seikatsu,"(1girl,shaula \(re:zero\),re:zero kara hajimeru isekai seikatsu),",,シャウラ \(リゼロ\),Re:ゼロから始める異世界生活,
1girl,jill stingray,va-11 hall-a,"(1girl,jill stingray,va-11 hall-a),",,ジル・スティングレイ,VA-11 ホール-A,
1girl,wii fit trainer,wii fit,"(1girl,wii fit trainer,wii fit),",,wiiフィットトレーナー,wiiフィット,
1girl,wii fit trainer \(female\),wii fit,"(1girl,wii fit trainer \(female\),wii fit),",,wiiフィットトレーナー \(女性\),wiiフィット,
1boy,aak \(arknights\),arknights,"(1boy,aak \(arknights\),arknights),",,aak \(アークナイツ\),アークナイツ,
1girl,absinthe \(arknights\),arknights,"(1girl,absinthe \(arknights\),arknights),",,アブサン \(アークナイツ\),アークナイツ,
1girl,alina \(arknights\),arknights,"(1girl,alina \(arknights\),arknights),",,アリーナ \(アークナイツ\),アークナイツ,
1girl,ambriel \(arknights\),arknights,"(1girl,ambriel \(arknights\),arknights),",,アンブリエル \(アークナイツ\),アークナイツ,
1girl,amiya \(arknights\),arknights,"(1girl,amiya \(arknights\),arknights),",,アーミヤ \(アークナイツ\),アークナイツ,
1girl,amiya \(guard\) \(arknights\),arknights,"(1girl,amiya \(guard\) \(arknights\),arknights),",,アーミヤ \(ガード\) \(アークナイツ\),アークナイツ,
1girl,amiya \(newsgirl\) \(arknights\),arknights,"(1girl,amiya \(newsgirl\) \(arknights\),arknights),",,アーミヤ \(ニュースガール\) \(アークナイツ\),アークナイツ,
1girl,andreana \(arknights\),arknights,"(1girl,andreana \(arknights\),arknights),",,アンドレアナ \(アークナイツ\),アークナイツ,
1girl,angelina \(arknights\),arknights,"(1girl,angelina \(arknights\),arknights),",,アンジェリーナ \(アークナイツ\),アークナイツ,
1girl,angelina \(distinguished visitor\) \(arknights\),arknights,"(1girl,angelina \(distinguished visitor\) \(arknights\),arknights),",,アンジェリーナ \(著名な訪問者\) \(アークナイツ\),アークナイツ,
1girl,angelina \(summer flower\) \(arknights\),arknights,"(1girl,angelina \(summer flower\) \(arknights\),arknights),",,アンジェリーナ \(夏の花\) \(アークナイツ\),アークナイツ,
1boy,ansel \(arknights\),arknights,"(1boy,ansel \(arknights\),arknights),",,アンセル \(アークナイツ\),アークナイツ,
1girl,april \(arknights\),arknights,"(1girl,april \(arknights\),arknights),",,4月 \(アークナイツ\),アークナイツ,
1girl,archetto \(arknights\),arknights,"(1girl,archetto \(arknights\),arknights),",,アーケット \(アークナイツ\),アークナイツ,
1boy,arene \(arknights\),arknights,"(1boy,arene \(arknights\),arknights),",,アレーン \(アークナイツ\),アークナイツ,
1girl,asbestos \(arknights\),arknights,"(1girl,asbestos \(arknights\),arknights),",,アスベスト \(アークナイツ\),アークナイツ,
1girl,ashlock \(arknights\),arknights,"(1girl,ashlock \(arknights\),arknights),",,アシュロック \(アークナイツ\),アークナイツ,
1girl,astesia \(arknights\),arknights,"(1girl,astesia \(arknights\),arknights),",,アステシア \(アークナイツ\),アークナイツ,
1girl,astesia \(starseeker\) \(arknights\),arknights,"(1girl,astesia \(starseeker\) \(arknights\),arknights),",,アステシア \(スターシーカー\) \(アークナイツ\),アークナイツ,
1girl,astgenne \(arknights\),arknights,"(1girl,astgenne \(arknights\),arknights),",,アストジェンヌ \(アークナイツ\),アークナイツ,
1girl,aurora \(arknights\),arknights,"(1girl,aurora \(arknights\),arknights),",,オーロラ \(アークナイツ\),アークナイツ,
1girl,aurora \(elite ii\) \(arknights\),arknights,"(1girl,aurora \(elite ii\) \(arknights\),arknights),",,オーロラ \(エリート ii\) \(アークナイツ\),アークナイツ,
1girl,bagpipe \(arknights\),arknights,"(1girl,bagpipe \(arknights\),arknights),",,バグパイプ \(アークナイツ\),アークナイツ,
1girl,bagpipe \(queen no. 1\) \(arknights\),arknights,"(1girl,bagpipe \(queen no. 1\) \(arknights\),arknights),",,バグパイプ \(クイーン No. 1\) \(アークナイツ\),アークナイツ,
1girl,beanstalk \(arknights\),arknights,"(1girl,beanstalk \(arknights\),arknights),",,豆の木 \(アークナイツ\),アークナイツ,
1girl,beanstalk \(gift uncompleted\) \(arknights\),arknights,"(1girl,beanstalk \(gift uncompleted\) \(arknights\),arknights),",,豆の木 \(未完成のギフト\) \(アークナイツ\),アークナイツ,
1girl,beeswax \(arknights\),arknights,"(1girl,beeswax \(arknights\),arknights),",,蜜蝋 \(アークナイツ\),アークナイツ,
1boy,bison \(arknights\),arknights,"(1boy,bison \(arknights\),arknights),",,バイソン \(アークナイツ\),アークナイツ,
1girl,bitey \(arknights\),arknights,"(1girl,bitey \(arknights\),arknights),",,噛みついた \(アークナイツ\),アークナイツ,
1girl,blaze \(arknights\),arknights,"(1girl,blaze \(arknights\),arknights),",,ブレイズ \(アークナイツ\),アークナイツ,
1girl,blemishine \(arknights\),arknights,"(1girl,blemishine \(arknights\),arknights),",,ブレミシャイン \(アークナイツ\),アークナイツ,
1girl,blue poison \(arknights\),arknights,"(1girl,blue poison \(arknights\),arknights),",,青い毒 \(アークナイツ\),アークナイツ,
1girl,blue poison \(elite ii\) \(arknights\),arknights,"(1girl,blue poison \(elite ii\) \(arknights\),arknights),",,青い毒 \(エリート ii\) \(アークナイツ\),アークナイツ,
1girl,blue poison \(shoal beat\) \(arknights\),arknights,"(1girl,blue poison \(shoal beat\) \(arknights\),arknights),",,青い毒 \(ショールビート\) \(アークナイツ\),アークナイツ,
1girl,cardigan \(arknights\),arknights,"(1girl,cardigan \(arknights\),arknights),",,カーディガン \(アークナイツ\),アークナイツ,
1girl,carnelian \(arknights\),arknights,"(1girl,carnelian \(arknights\),arknights),",,カーネリアン \(アークナイツ\),アークナイツ,
1girl,carnelian \(shimmering dew\) \(arknights\),arknights,"(1girl,carnelian \(shimmering dew\) \(arknights\),arknights),",,カーネリアン \(きらめく露\) \(アークナイツ\),アークナイツ,
1girl,ceobe \(arknights\),arknights,"(1girl,ceobe \(arknights\),arknights),",,セオベ \(アークナイツ\),アークナイツ,
1girl,ceobe \(unfettered\) \(arknights\),arknights,"(1girl,ceobe \(unfettered\) \(arknights\),arknights),",,セオベ \(自由な\) \(アークナイツ\),アークナイツ,
1girl,ceylon \(arknights\),arknights,"(1girl,ceylon \(arknights\),arknights),",,セイロン \(アークナイツ\),アークナイツ,
1girl,ch'en \(ageless afterglow\) \(arknights\),arknights,"(1girl,ch'en \(ageless afterglow\) \(arknights\),arknights),",,チェン \(永遠の残光\) \(アークナイツ\),アークナイツ,
1girl,ch'en \(arknights\),arknights,"(1girl,ch'en \(arknights\),arknights),",,チェン \(アークナイツ\),アークナイツ,
1girl,ch'en the holungday \(arknights\),arknights,"(1girl,ch'en the holungday \(arknights\),arknights),",,チェン・ザ・ホーンデイ \(アークナイツ\),アークナイツ,
1girl,ch'en the holungday \(elite ii\) \(arknights\),arknights,"(1girl,ch'en the holungday \(elite ii\) \(arknights\),arknights),",,チェン・ザ・ホーンデイ \(エリート ii\) \(アークナイツ\),アークナイツ,
1boy,chong yue \(arknights\),arknights,"(1boy,chong yue \(arknights\),arknights),",,チョンユエ \(アークナイツ\),アークナイツ,
1girl,click \(arknights\),arknights,"(1girl,click \(arknights\),arknights),",,\(アークナイツ\)をクリックしてください,アークナイツ,
1girl,cliffheart \(arknights\),arknights,"(1girl,cliffheart \(arknights\),arknights),",,クリフハート \(アークナイツ\),アークナイツ,
1girl,closure \(arknights\),arknights,"(1girl,closure \(arknights\),arknights),",,クロージャ \(アークナイツ\),アークナイツ,
1boy,courier \(arknights\),arknights,"(1boy,courier \(arknights\),arknights),",,宅配便 \(アークナイツ\),アークナイツ,
1girl,croissant \(arknights\),arknights,"(1girl,croissant \(arknights\),arknights),",,クロワッサン \(アークナイツ\),アークナイツ,
1girl,crownslayer \(arknights\),arknights,"(1girl,crownslayer \(arknights\),arknights),",,クラウンスレイヤー \(アークナイツ\),アークナイツ,
1girl,cuora \(arknights\),arknights,"(1girl,cuora \(arknights\),arknights),",,クオラ \(アークナイツ\),アークナイツ,
1girl,deepcolor \(arknights\),arknights,"(1girl,deepcolor \(arknights\),arknights),",,ディープカラー \(アークナイツ\),アークナイツ,
1girl,degenbrecher \(arknights\),arknights,"(1girl,degenbrecher \(arknights\),arknights),",,デゲンブレッシャー \(アークナイツ\),アークナイツ,
1girl,dobermann \(arknights\),arknights,"(1girl,dobermann \(arknights\),arknights),",,ドーベルマン \(アークナイツ\),アークナイツ,
1other,doctor \(arknights\),arknights,"(1other,doctor \(arknights\),arknights),",,博士 \(アークナイツ\),アークナイツ,
1girl,dorothy \(arknights\),arknights,"(1girl,dorothy \(arknights\),arknights),",,ドロシー \(アークナイツ\),アークナイツ,
1girl,durin \(arknights\),arknights,"(1girl,durin \(arknights\),arknights),",,\(アークナイツ\)の間,アークナイツ,
1girl,dusk \(arknights\),arknights,"(1girl,dusk \(arknights\),arknights),",,夕暮れ \(アークナイツ\),アークナイツ,
1girl,dusk \(everything is a miracle\) \(arknights\),arknights,"(1girl,dusk \(everything is a miracle\) \(arknights\),arknights),",,夕暮れ \(すべては奇跡\) \(アークナイツ\),アークナイツ,
1boy,ebenholz \(arknights\),arknights,"(1boy,ebenholz \(arknights\),arknights),",,エベンホルツ \(アークナイツ\),アークナイツ,
1boy,elysium \(arknights\),arknights,"(1boy,elysium \(arknights\),arknights),",,エリジウム \(アークナイツ\),アークナイツ,
1boy,enforcer \(arknights\),arknights,"(1boy,enforcer \(arknights\),arknights),",,執行者 \(アークナイツ\),アークナイツ,
1boy,ethan \(arknights\),arknights,"(1boy,ethan \(arknights\),arknights),",,イーサン \(アークナイツ\),アークナイツ,
1girl,eunectes \(arknights\),arknights,"(1girl,eunectes \(arknights\),arknights),",,\(アークナイツ\) を再会します,アークナイツ,
1girl,eunectes \(forgemaster\) \(arknights\),arknights,"(1girl,eunectes \(forgemaster\) \(arknights\),arknights),",,ユニネクテス \(フォージマスター\) \(アークナイツ\),アークナイツ,
1boy,executor \(arknights\),arknights,"(1boy,executor \(arknights\),arknights),",,執行者 \(アークナイツ\),アークナイツ,
1girl,exusiai \(arknights\),arknights,"(1girl,exusiai \(arknights\),arknights),",,エクスシアイ \(アークナイツ\),アークナイツ,
1girl,eyjafjalla \(arknights\),arknights,"(1girl,eyjafjalla \(arknights\),arknights),",,エイヤフィヤラ \(アークナイツ\),アークナイツ,
1girl,eyjafjalla \(summer flower\) \(arknights\),arknights,"(1girl,eyjafjalla \(summer flower\) \(arknights\),arknights),",,エイヤフィヤラ \(夏の花\) \(アークナイツ\),アークナイツ,
1girl,fang \(arknights\),arknights,"(1girl,fang \(arknights\),arknights),",,ファング \(アークナイツ\),アークナイツ,
1girl,fartooth \(arknights\),arknights,"(1girl,fartooth \(arknights\),arknights),",,はるかな\(アークナイツ\),アークナイツ,
1boy,faust \(arknights\),arknights,"(1boy,faust \(arknights\),arknights),",,ファウスト \(アークナイツ\),アークナイツ,
1girl,feater \(arknights\),arknights,"(1girl,feater \(arknights\),arknights),",,フィーチャー \(アークナイツ\),アークナイツ,
1girl,female doctor \(arknights\),arknights,"(1girl,female doctor \(arknights\),arknights),",,女医 \(アークナイツ\),アークナイツ,
1girl,female tourist c \(arknights\),arknights,"(1girl,female tourist c \(arknights\),arknights),",,女性観光客 c \(アークナイツ\),アークナイツ,
1girl,fiammetta \(arknights\),arknights,"(1girl,fiammetta \(arknights\),arknights),",,フィアメッタ \(アークナイツ\),アークナイツ,
1girl,firewatch \(arknights\),arknights,"(1girl,firewatch \(arknights\),arknights),",,ファイアウォッチ \(アークナイツ\),アークナイツ,
1boy,flamebringer \(arknights\),arknights,"(1boy,flamebringer \(arknights\),arknights),",,フレイムブリンガー \(アークナイツ\),アークナイツ,
1girl,flametail \(arknights\),arknights,"(1girl,flametail \(arknights\),arknights),",,フレイムテイル \(アークナイツ\),アークナイツ,
1girl,flint \(arknights\),arknights,"(1girl,flint \(arknights\),arknights),",,フリント \(アークナイツ\),アークナイツ,
1girl,folinic \(arknights\),arknights,"(1girl,folinic \(arknights\),arknights),",,フォリニック \(アークナイツ\),アークナイツ,
1girl,franka \(arknights\),arknights,"(1girl,franka \(arknights\),arknights),",,フランカ \(アークナイツ\),アークナイツ,
1girl,frostleaf \(arknights\),arknights,"(1girl,frostleaf \(arknights\),arknights),",,フロストリーフ \(アークナイツ\),アークナイツ,
1girl,frostnova \(arknights\),arknights,"(1girl,frostnova \(arknights\),arknights),",,フロストノバ \(アークナイツ\),アークナイツ,
1girl,gavial \(arknights\),arknights,"(1girl,gavial \(arknights\),arknights),",,ガビアル \(アークナイツ\),アークナイツ,
1girl,gavial the invincible \(arknights\),arknights,"(1girl,gavial the invincible \(arknights\),arknights),",,無敵のガビアル \(アークナイツ\),アークナイツ,
1girl,gladiia \(arknights\),arknights,"(1girl,gladiia \(arknights\),arknights),",,グラディア \(アークナイツ\),アークナイツ,
1girl,glaucus \(arknights\),arknights,"(1girl,glaucus \(arknights\),arknights),",,グラウカス \(アークナイツ\),アークナイツ,
1girl,goldenglow \(arknights\),arknights,"(1girl,goldenglow \(arknights\),arknights),",,ゴールデングロウ \(アークナイツ\),アークナイツ,
1girl,grani \(arknights\),arknights,"(1girl,grani \(arknights\),arknights),",,グラニ \(アークナイツ\),アークナイツ,
1girl,gravel \(arknights\),arknights,"(1girl,gravel \(arknights\),arknights),",,砂利 \(アークナイツ\),アークナイツ,
1girl,gravel \(modeling night\) \(arknights\),arknights,"(1girl,gravel \(modeling night\) \(arknights\),arknights),",,砂利 \(モデリングナイト\) \(アークナイツ\),アークナイツ,
1girl,greythroat \(arknights\),arknights,"(1girl,greythroat \(arknights\),arknights),",,グレイスロート \(アークナイツ\),アークナイツ,
1girl,gummy \(arknights\),arknights,"(1girl,gummy \(arknights\),arknights),",,グミ \(アークナイツ\),アークナイツ,
1girl,harmonie \(arknights\),arknights,"(1girl,harmonie \(arknights\),arknights),",,ハーモニー \(アークナイツ\),アークナイツ,
1girl,heavyrain \(arknights\),arknights,"(1girl,heavyrain \(arknights\),arknights),",,ヘビーレイン \(アークナイツ\),アークナイツ,
1girl,heidi \(arknights\),arknights,"(1girl,heidi \(arknights\),arknights),",,ハイジ \(アークナイツ\),アークナイツ,
1girl,heixiu,arknights,"(1girl,heixiu,arknights),",,ヘイシウ,アークナイツ,
1boy,hellagur \(arknights\),arknights,"(1boy,hellagur \(arknights\),arknights),",,ヘラグール \(アークナイツ\),アークナイツ,
1girl,hibiscus \(arknights\),arknights,"(1girl,hibiscus \(arknights\),arknights),",,ハイビスカス \(アークナイツ\),アークナイツ,
1girl,hibiscus the purifier \(arknights\),arknights,"(1girl,hibiscus the purifier \(arknights\),arknights),",,ハイビスカスの浄化者 \(アークナイツ\),アークナイツ,
1girl,high priest \(arknights\),arknights,"(1girl,high priest \(arknights\),arknights),",,大祭司 \(アークナイツ\),アークナイツ,
1girl,ho'olheyak \(arknights\),arknights,"(1girl,ho'olheyak \(arknights\),arknights),",,ホルヘヤク \(アークナイツ\),アークナイツ,
1girl,horn \(arknights\),arknights,"(1girl,horn \(arknights\),arknights),",,ホーン \(アークナイツ\),アークナイツ,
1girl,hoshiguma \(arknights\),arknights,"(1girl,hoshiguma \(arknights\),arknights),",,ホシグマ \(アークナイツ\),アークナイツ,
1girl,hoshiguma \(ronin huntress\) \(arknights\),arknights,"(1girl,hoshiguma \(ronin huntress\) \(arknights\),arknights),",,ホシグマ \(浪人ハントレス\) \(アークナイツ\),アークナイツ,
1boy,hung \(arknights\),arknights,"(1boy,hung \(arknights\),arknights),",,ハング \(アークナイツ\),アークナイツ,
1girl,ifrit \(arknights\),arknights,"(1girl,ifrit \(arknights\),arknights),",,イフリート \(アークナイツ\),アークナイツ,
1girl,ifrit \(sunburn\) \(arknights\),arknights,"(1girl,ifrit \(sunburn\) \(arknights\),arknights),",,イフリート \(日焼け\) \(アークナイツ\),アークナイツ,
1girl,indigo \(arknights\),arknights,"(1girl,indigo \(arknights\),arknights),",,インディゴ \(アークナイツ\),アークナイツ,
1girl,indra \(arknights\),arknights,"(1girl,indra \(arknights\),arknights),",,インドラ \(アークナイツ\),アークナイツ,
1girl,ines \(arknights\),arknights,"(1girl,ines \(arknights\),arknights),",,イネス \(アークナイツ\),アークナイツ,
1girl,irene \(arknights\),arknights,"(1girl,irene \(arknights\),arknights),",,アイリーン \(アークナイツ\),アークナイツ,
1girl,irene \(voyage of feathers\) \(arknights\),arknights,"(1girl,irene \(voyage of feathers\) \(arknights\),arknights),",,アイリーン \(羽の旅路\) \(アークナイツ\),アークナイツ,
1girl,istina \(arknights\),arknights,"(1girl,istina \(arknights\),arknights),",,イスティナ \(アークナイツ\),アークナイツ,
1boy,jaye \(arknights\),arknights,"(1boy,jaye \(arknights\),arknights),",,ジェイ \(アークナイツ\),アークナイツ,
1girl,jessica \(arknights\),arknights,"(1girl,jessica \(arknights\),arknights),",,ジェシカ \(アークナイツ\),アークナイツ,
1girl,kafka \(arknights\),arknights,"(1girl,kafka \(arknights\),arknights),",,カフカ \(アークナイツ\),アークナイツ,
1girl,kal'tsit \(arknights\),arknights,"(1girl,kal'tsit \(arknights\),arknights),",,カルッツィット \(アークナイツ\),アークナイツ,
1girl,kirin r yato \(arknights\),arknights,"(1girl,kirin r yato \(arknights\),arknights),",,キリン・ヤト \(アークナイツ\),アークナイツ,
1girl,kjera \(arknights\),arknights,"(1girl,kjera \(arknights\),arknights),",,キジェラ \(アークナイツ\),アークナイツ,
1boy,kreide \(arknights\),arknights,"(1boy,kreide \(arknights\),arknights),",,クライデ \(アークナイツ\),アークナイツ,
1girl,kristen \(arknights\),arknights,"(1girl,kristen \(arknights\),arknights),",,クリステン \(アークナイツ\),アークナイツ,
1girl,kroos \(arknights\),arknights,"(1girl,kroos \(arknights\),arknights),",,クロース \(アークナイツ\),アークナイツ,
1girl,kroos the keen glint \(arknights\),arknights,"(1girl,kroos the keen glint \(arknights\),arknights),",,鋭い輝きのクロース \(アークナイツ\),アークナイツ,
1girl,la pluma \(arknights\),arknights,"(1girl,la pluma \(arknights\),arknights),",,ラ・プルマ \(アークナイツ\),アークナイツ,
1girl,la pluma \(summer flowers\) \(arknights\),arknights,"(1girl,la pluma \(summer flowers\) \(arknights\),arknights),",,ラ・プルマ \(夏の花\) \(アークナイツ\),アークナイツ,
1girl,lancet-2 \(arknights\),arknights,"(1girl,lancet-2 \(arknights\),arknights),",,ランセット-2 \(アークナイツ\),アークナイツ,
1girl,lappland \(arknights\),arknights,"(1girl,lappland \(arknights\),arknights),",,ラップランド \(アークナイツ\),アークナイツ,
1girl,lappland \(refined horrormare\) \(arknights\),arknights,"(1girl,lappland \(refined horrormare\) \(arknights\),arknights),",,ラップランド \(洗練されたホラーメア\) \(アークナイツ\),アークナイツ,
1girl,lava \(arknights\),arknights,"(1girl,lava \(arknights\),arknights),",,溶岩 \(アークナイツ\),アークナイツ,
1girl,lava the purgatory \(arknights\),arknights,"(1girl,lava the purgatory \(arknights\),arknights),",,煉獄の溶岩 \(アークナイツ\),アークナイツ,
1boy,lee \(arknights\),arknights,"(1boy,lee \(arknights\),arknights),",,リー \(アークナイツ\),アークナイツ,
1girl,leizi \(arknights\),arknights,"(1girl,leizi \(arknights\),arknights),",,レイジ \(アークナイツ\),アークナイツ,
1girl,lemuen \(arknights\),arknights,"(1girl,lemuen \(arknights\),arknights),",,レムエン \(アークナイツ\),アークナイツ,
1boy,leonhardt \(arknights\),arknights,"(1boy,leonhardt \(arknights\),arknights),",,レオンハルト \(アークナイツ\),アークナイツ,
1girl,lin \(arknights\),arknights,"(1girl,lin \(arknights\),arknights),",,リン \(アークナイツ\),アークナイツ,
1girl,ling \(arknights\),arknights,"(1girl,ling \(arknights\),arknights),",,リン \(アークナイツ\),アークナイツ,
1girl,liskarm \(arknights\),arknights,"(1girl,liskarm \(arknights\),arknights),",,リスカーム \(アークナイツ\),アークナイツ,
1boy,lumen \(arknights\),arknights,"(1boy,lumen \(arknights\),arknights),",,ルーメン \(アークナイツ\),アークナイツ,
1girl,magallan \(arknights\),arknights,"(1girl,magallan \(arknights\),arknights),",,マガラン \(アークナイツ\),アークナイツ,
1boy,male doctor \(arknights\),arknights,"(1boy,male doctor \(arknights\),arknights),",,男性医師 \(アークナイツ\),アークナイツ,
1girl,mandragora \(arknights\),arknights,"(1girl,mandragora \(arknights\),arknights),",,マンドラゴラ \(アークナイツ\),アークナイツ,
1girl,manticore \(arknights\),arknights,"(1girl,manticore \(arknights\),arknights),",,マンティコア \(アークナイツ\),アークナイツ,
1girl,manticore \(under a veil\) \(arknights\),arknights,"(1girl,manticore \(under a veil\) \(arknights\),arknights),",,マンティコア \(ベールの下に\) \(アークナイツ\),アークナイツ,
1boy,matterhorn \(arknights\),arknights,"(1boy,matterhorn \(arknights\),arknights),",,マッターホルン \(アークナイツ\),アークナイツ,
1girl,mayer \(arknights\),arknights,"(1girl,mayer \(arknights\),arknights),",,メイヤー \(アークナイツ\),アークナイツ,
1girl,melantha \(arknights\),arknights,"(1girl,melantha \(arknights\),arknights),",,メランサ \(アークナイツ\),アークナイツ,
1boy,mephisto \(arknights\),arknights,"(1boy,mephisto \(arknights\),arknights),",,メフィスト \(アークナイツ\),アークナイツ,
1girl,metal crab \(arknights\),arknights,"(1girl,metal crab \(arknights\),arknights),",,メタルクラブ \(アークナイツ\),アークナイツ,
1girl,meteor \(arknights\),arknights,"(1girl,meteor \(arknights\),arknights),",,流星 \(アークナイツ\),アークナイツ,
1girl,meteorite \(arknights\),arknights,"(1girl,meteorite \(arknights\),arknights),",,隕石 \(アークナイツ\),アークナイツ,
1girl,mint \(arknights\),arknights,"(1girl,mint \(arknights\),arknights),",,ミント \(アークナイツ\),アークナイツ,
1boy,mizuki \(arknights\),arknights,"(1boy,mizuki \(arknights\),arknights),",,ミズキ \(アークナイツ\),アークナイツ,
1boy,mlynar \(arknights\),arknights,"(1boy,mlynar \(arknights\),arknights),",,ムリーナ \(アークナイツ\),アークナイツ,
1girl,mon3tr \(arknights\),arknights,"(1girl,mon3tr \(arknights\),arknights),",,mon3tr \(アークナイツ\),アークナイツ,
1girl,morte \(arknights\),arknights,"(1girl,morte \(arknights\),arknights),",,モルテ \(アークナイツ\),アークナイツ,
1girl,mostima \(arknights\),arknights,"(1girl,mostima \(arknights\),arknights),",,モスティマ \(アークナイツ\),アークナイツ,
1boy,mountain \(arknights\),arknights,"(1boy,mountain \(arknights\),arknights),",,山 \(アークナイツ\),アークナイツ,
1girl,mousse \(arknights\),arknights,"(1girl,mousse \(arknights\),arknights),",,ムース \(アークナイツ\),アークナイツ,
1boy,mr. nothing \(arknights\),arknights,"(1boy,mr. nothing \(arknights\),arknights),",,氏。何もありません \(アークナイツ\),アークナイツ,
1girl,mudrock \(arknights\),arknights,"(1girl,mudrock \(arknights\),arknights),",,マッドロック \(アークナイツ\),アークナイツ,
1girl,mudrock \(elite ii\) \(arknights\),arknights,"(1girl,mudrock \(elite ii\) \(arknights\),arknights),",,マッドロック \(エリート ii\) \(アークナイツ\),アークナイツ,
1girl,mudrock \(obsidian\) \(arknights\),arknights,"(1girl,mudrock \(obsidian\) \(arknights\),arknights),",,泥岩 \(黒曜石\) \(アークナイツ\),アークナイツ,
